amedas_id,name,longitude,latitude,elevation_m,observed_at,temperature_c,temperature_quality,precipitation_1h_mm,precipitation_1h_quality,wind_speed_ms,wind_speed_quality,wind_direction_code,wind_direction_deg,wind_direction_quality
67326,府中,133.231667,34.561667,70,2026-09-07T07:00:00+09:00,25.0,0,0.0,0,1.2,0,5.0,112.5,0
67351,佐伯湯来,132.29,34.498333,206,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67371,志和,132.66,34.498333,215,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67376,東広島,132.7,34.416667,224,2026-09-07T07:00:00+09:00,22.3,0,0.0,0,5.2,0,1.0,22.5,0
67386,本郷,132.918333,34.435,331,2026-09-07T07:00:00+09:00,22.4,0,0.0,0,5.1,0,1.0,22.5,0
67401,福山,133.246667,34.446667,2,2026-09-07T07:00:00+09:00,24.4,0,0.0,0,1.1,0,2.0,45.0,0
67421,廿日市津田,132.19,34.365,317,2026-09-07T07:00:00+09:00,22.7,0,0.0,0,1.4,0,9.0,202.5,0
67437,広島,132.461667,34.398333,4,2026-09-07T07:00:00+09:00,25.1,0,0.0,0,6.5,0,1.0,22.5,0
67461,竹原,132.981667,34.33,5,2026-09-07T07:00:00+09:00,24.3,0,0.0,0,2.3,0,1.0,22.5,0
67471,生口島,133.123333,34.278333,3,2026-09-07T07:00:00+09:00,25.4,0,0.0,0,3.2,0,16.0,0.0,0
67496,大竹,132.22,34.221667,1,2026-09-07T07:00:00+09:00,26.5,0,0.0,0,3.7,0,2.0,45.0,0
67511,呉,132.55,34.24,4,2026-09-07T07:00:00+09:00,25.8,0,0.0,0,3.2,0,2.0,45.0,0
67566,倉橋,132.488333,34.091667,3,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67576,呉市蒲刈,132.748333,34.165,48,2026-09-07T07:00:00+09:00,24.6,0,0.0,0,4.5,0,4.0,90.0,0
68022,西郷,133.333333,36.203333,27,2026-09-07T07:00:00+09:00,21.0,0,1.5,0,1.6,0,15.0,337.5,0
68046,西郷岬,133.323333,36.178333,80,2026-09-07T07:00:00+09:00,21.2,0,0.5,0,3.8,0,16.0,0.0,0
68056,海士,133.096667,36.096667,3,2026-09-07T07:00:00+09:00,22.1,0,0.0,0,0.7,0,4.0,90.0,0
68091,鹿島,132.983333,35.52,3,2026-09-07T07:00:00+09:00,23.9,0,0.0,0,1.1,0,9.0,202.5,0
68121,斐川,132.89,35.413333,2,2026-09-07T07:00:00+09:00,24.4,0,0.0,0,4.9,0,1.0,22.5,0
68132,松江,133.065,35.456667,17,2026-09-07T07:00:00+09:00,23.3,0,0.0,0,1.2,0,10.0,225.0,0
68156,出雲,132.73,35.331667,20,2026-09-07T07:00:00+09:00,22.6,0,0.0,0,2.1,0,5.0,112.5,0
68166,大東,132.965,35.318333,56,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
68181,伯太,133.273333,35.35,23,2026-09-07T07:00:00+09:00,,,1.0,0,,,,,
68206,佐田,132.723333,35.221667,100,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
68246,大田,132.496667,35.19,30,2026-09-07T07:00:00+09:00,23.5,0,0.0,0,0.9,0,16.0,0.0,0
68261,掛合,132.815,35.196667,215,2026-09-07T07:00:00+09:00,20.8,0,0.0,0,0.5,0,6.0,135.0,0
68276,横田,133.103333,35.173333,369,2026-09-07T07:00:00+09:00,20.1,0,0.0,0,0.8,0,14.0,315.0,0
68286,福光,132.333333,35.07,8,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
68306,赤名,132.711667,35.001667,444,2026-09-07T07:00:00+09:00,20.7,0,0.0,0,3.1,0,15.0,337.5,0
68346,桜江,132.333333,34.953333,32,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
68351,川本,132.491667,34.976667,132,2026-09-07T07:00:00+09:00,21.2,0,0.5,0,0.7,0,10.0,225.0,0
68376,浜田,132.07,34.896667,19,2026-09-07T07:00:00+09:00,22.0,0,0.5,0,2.6,0,3.0,67.5,0
68401,瑞穂,132.53,34.853333,327,2026-09-07T07:00:00+09:00,20.3,0,0.0,0,1.6,0,11.0,247.5,0
68421,三隅,131.948333,34.795,9,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
68431,弥栄,132.108333,34.776667,380,2026-09-07T07:00:00+09:00,20.0,0,0.5,0,2.3,0,16.0,0.0,0
68436,波佐,132.196667,34.78,370,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
68456,高津,131.79,34.675,54,2026-09-07T07:00:00+09:00,22.9,0,0.0,0,2.7,0,3.0,67.5,0
68462,益田,131.85,34.686667,22,2026-09-07T07:00:00+09:00,23.0,0,0.0,0,1.2,0,16.0,0.0,0
68501,匹見,132.016667,34.571667,259,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
68516,津和野,131.77,34.461667,165,2026-09-07T07:00:00+09:00,21.4,0,0.5,0,2.3,0,15.0,337.5,0
68541,吉賀,131.893333,34.391667,250,2026-09-07T07:00:00+09:00,21.4,0,0.0,0,2.5,0,3.0,67.5,0
69006,境,133.235,35.543333,2,2026-09-07T07:00:00+09:00,24.6,0,0.0,0,2.6,0,16.0,0.0,0
69021,塩津,133.566667,35.523333,15,2026-09-07T07:00:00+09:00,22.4,0,0.5,0,2.9,0,7.0,157.5,0
69041,青谷,133.996667,35.52,13,2026-09-07T07:00:00+09:00,22.4,0,0.5,0,2.1,0,8.0,180.0,0
69052,湖山,134.165,35.53,15,2026-09-07T07:00:00+09:00,22.3,0,0.5,0,0.9,0,7.0,157.5,0
69061,岩井,134.36,35.558333,19,2026-09-07T07:00:00+09:00,22.0,0,0.0,0,1.5,0,3.0,67.5,0
69076,米子,133.338333,35.433333,7,2026-09-07T07:00:00+09:00,22.1,0,2.5,0,1.7,0,9.0,202.5,0
69101,倉吉,133.838333,35.473333,8,2026-09-07T07:00:00+09:00,21.6,0,0.5,0,3.2,0,8.0,180.0,0
69111,鹿野,134.016667,35.413333,210,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
69122,鳥取,134.238333,35.486667,7,2026-09-07T07:00:00+09:00,22.4,0,0.0,0,1.4,0,7.0,157.5,0
69152,大山,133.536667,35.393333,875,2026-09-07T07:00:00+09:00,,,4.5,0,,,,,
69161,関金,133.756667,35.378333,150,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
69181,佐治,134.113333,35.328333,210,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
69196,若桜,134.405,35.333333,231,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
69222,江尾,133.483333,35.288333,155,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
69246,智頭,134.24,35.263333,182,2026-09-07T07:00:00+09:00,21.4,0,1.0,0,0.8,0,11.0,247.5,0
69271,茶屋,133.23,35.186667,490,2026-09-07T07:00:00+09:00,19.7,0,0.0,0,0.6,0,10.0,225.0,0
71066,池田,133.795,34.023333,214,2026-09-07T07:00:00+09:00,21.6,0,0.5,0,1.8,0,3.0,67.5,0
71087,穴吹,134.156667,34.04,160,2026-09-07T07:00:00+09:00,21.8,0,0.0,0,0.6,0,1.0,22.5,0
71106,徳島,134.573333,34.066667,2,2026-09-07T07:00:00+09:00,24.7,0,0.0,0,3.6,0,15.0,337.5,0
71136,半田,134.036667,33.99,228,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
71192,東祖谷,133.978333,33.87,781,2026-09-07T07:00:00+09:00,19.6,0,0.0,0,0.8,0,3.0,67.5,0
71211,福原旭,134.388333,33.878333,290,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
71231,蒲生田,134.741667,33.836667,10,2026-09-07T07:00:00+09:00,24.9,0,0.0,0,5.9,0,2.0,45.0,0
71251,木頭,134.198333,33.771667,363,2026-09-07T07:00:00+09:00,21.5,0,0.0,0,0.4,0,7.0,157.5,0
71266,日和佐,134.538333,33.731667,3,2026-09-07T07:00:00+09:00,23.9,0,0.5,0,1.8,0,7.0,157.5,0
71291,海陽,134.355,33.611667,5,2026-09-07T07:00:00+09:00,24.1,0,0.0,0,1.5,0,16.0,0.0,0
72061,内海,134.273333,34.471667,20,2026-09-07T07:00:00+09:00,25.5,0,0.0,0,1.4,0,6.0,135.0,0
72086,高松,134.053333,34.318333,9,2026-09-07T07:00:00+09:00,24.5,0,0.0,0,1.9,0,16.0,0.0,0
72111,多度津,133.751667,34.275,4,2026-09-07T07:00:00+09:00,25.1,0,0.0,0,1.5,0,3.0,67.5,0
72121,滝宮,133.923333,34.236667,60,2026-09-07T07:00:00+09:00,22.6,0,0.0,0,0.7,0,4.0,90.0,0
72126,香南,134.015,34.213333,185,2026-09-07T07:00:00+09:00,22.1,0,1.0,0,2.2,0,3.0,67.5,0
72146,引田,134.406667,34.213333,12,2026-09-07T07:00:00+09:00,24.5,0,0.0,0,3.3,0,2.0,45.0,0
72161,財田,133.771667,34.12,65,2026-09-07T07:00:00+09:00,22.8,0,0.0,0,2.0,0,1.0,22.5,0
72176,竜王山,134.05,34.113333,1040,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
73001,大三島,133.006667,34.25,9,2026-09-07T07:00:00+09:00,23.0,0,0.0,0,1.0,0,2.0,45.0,0
73071,玉川,132.94,34.018333,67,2026-09-07T07:00:00+09:00,,,2.0,0,,,,,
73076,今治,132.975,34.053333,27,2026-09-07T07:00:00+09:00,24.3,0,0.0,0,4.6,0,3.0,67.5,0
73126,西条,133.08,33.915,4,2026-09-07T07:00:00+09:00,23.3,0,0.0,0,1.0,0,6.0,135.0,0
73141,新居浜,133.338333,33.936667,90,2026-09-07T07:00:00+09:00,22.5,0,1.5,0,1.0,0,5.0,112.5,0
73151,四国中央,133.581667,33.981667,75,2026-09-07T07:00:00+09:00,22.6,0,1.0,0,0.6,0,10.0,225.0,0
73152,富郷,133.51,33.915,310,2026-09-07T07:00:00+09:00,,,1.0,0,,,,,
73166,松山,132.776667,33.843333,32,2026-09-07T07:00:00+09:00,25.0,0,0.0,0,0.8,0,2.0,45.0,0
73168,松山南吉田,132.698333,33.826667,4,2026-09-07T07:00:00+09:00,25.1,0,0.0,0,4.5,0,1.0,22.5,0
73231,上林,132.89,33.738333,460,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
73247,成就社,133.131667,33.795,1280,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
73256,長浜,132.48,33.616667,4,2026-09-07T07:00:00+09:00,25.1,0,0.0,0,6.1,0,2.0,45.0,0
73271,中山,132.708333,33.638333,163,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
73276,久万,132.895,33.663333,511,2026-09-07T07:00:00+09:00,21.4,0,0.0,0,0.4,0,16.0,0.0,0
73306,大洲,132.535,33.508333,20,2026-09-07T07:00:00+09:00,23.9,0,0.0,0,1.2,0,11.0,247.5,0
73321,獅子越峠,132.831667,33.543333,1000,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
73341,瀬戸,132.256667,33.446667,143,2026-09-07T07:00:00+09:00,23.9,0,0.0,0,5.6,0,1.0,22.5,0
73351,八幡浜,132.433333,33.448333,8,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
73406,宇和,132.503333,33.366667,200,2026-09-07T07:00:00+09:00,24.1,0,0.0,0,1.3,0,14.0,315.0,0
73442,宇和島,132.551667,33.226667,2,2026-09-07T07:00:00+09:00,24.7,0,0.0,0,0.9,0,7.0,157.5,0
73446,近永,132.675,33.253333,129,2026-09-07T07:00:00+09:00,24.1,0,0.0,0,0.3,0,14.0,315.0,0
73516,御荘,132.57,32.963333,12,2026-09-07T07:00:00+09:00,25.3,0,0.0,0,0.5,0,3.0,67.5,0
74056,本川,133.338333,33.765,605,2026-09-07T07:00:00+09:00,20.5,0,0.5,0,0.4,0,5.0,112.5,0
74071,本山,133.575,33.753333,252,2026-09-07T07:00:00+09:00,22.1,0,0.0,0,0.2,0,0.0,0.0,0
74101,池川,133.17,33.606667,141,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74126,繁藤,133.685,33.678333,346,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74136,大栃,133.875,33.698333,210,2026-09-07T07:00:00+09:00,22.9,0,0.0,0,0.6,0,3.0,67.5,0
74151,魚梁瀬,134.108333,33.615,450,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74166,佐川,133.271667,33.511667,80,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74182,高知,133.548333,33.566667,1,2026-09-07T07:00:00+09:00,25.3,0,0.0,0,3.0,0,12.0,270.0,0
74187,後免,133.643333,33.59,12,2026-09-07T07:00:00+09:00,25.3,0,0.0,0,0.8,0,12.0,270.0,0
74188,南国日章,133.668333,33.545,9,2026-09-07T07:00:00+09:00,26.7,0,0.0,0,4.0,0,16.0,0.0,0
74237,船戸,133.088333,33.416667,425,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74238,鳥形山,133.083333,33.48,835,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74271,安芸,133.933333,33.488333,6,2026-09-07T07:00:00+09:00,25.6,0,0.0,0,0.5,0,16.0,0.0,0
74276,田野,134.006667,33.426667,17,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74296,梼原,132.921667,33.39,415,2026-09-07T07:00:00+09:00,21.4,0,0.0,0,0.2,0,0.0,0.0,0
74311,須崎,133.276667,33.385,4,2026-09-07T07:00:00+09:00,23.7,0,0.0,0,3.1,0,14.0,315.0,0
